address,Town,State,isHostedBySuperhost,location/lat,location/lng,name,numberOfGuests,pricing/rate/amount,roomType,stars
"Marna, Goa, India",Marna," Goa, India",0,15.62,73.78,Private Luxury 7bhk Villa With Swimming Pool,16,598,Entire Villa,4.80
"Assagao, Goa, India",Assagao," Goa, India",0,15.59,73.78,Luxurious 5bhk Villa With A Caretaker In Assagao,15,623,Entire Villa,4.33
"Anjuna, Goa, India",Anjuna," Goa, India",0,15.58,73.76,Pura Vida I By Hireavilla-5br W Pvt Pool In Anjuna,15,771,Entire Villa,4.88
"Jaipur, Rajasthan, India",Jaipur," Rajasthan, India",0,26.93,75.80,"Pool Party, Function & Events @ Heritage Bungalow",16,567,Entire Bungalow,
"Lonavala, Maharashtra, India",Lonavala," Maharashtra, India",0,18.67,73.39,Falcon Hill -Infinity Pool Views Near Lion'S Point,15,624,Entire Villa,5.00
"Alibag, Maharashtra, India",Alibag," Maharashtra, India",1,18.66,72.88,Frangipani By Hireavilla-5br Lux Estate In Alibaug,15,701,Entire Home,4.47
"Manali, Himachal Pradesh, India",Manali," Himachal Pradesh, India",0,32.28,77.17,Chaletshanagmanali- 4 Br Chalet,8,505,Entire Chalet,4.50
"Candolim, Goa, India",Candolim," Goa, India",1,15.53,73.79,Cliffhouse By Hireavilla -5br W Pvt Pool In Saipem,15,546,Entire Villa,4.89
"Brittona, Goa, India",Brittona," Goa, India",1,15.53,73.85,"Lux 2 Villa'S With 2 Cooks, Private Pool & Car",16,754,Entire Villa,4.67
"Zirad, Maharashtra, India",Zirad," Maharashtra, India",0,18.76,72.89,Bougainvillea: Beautiful 6bhk Villa By Limestays,16,773,Entire Villa,
"Kune N.M., Maharashtra, India",Kune N.M.," Maharashtra, India",0,18.76,73.39,Stayvista La Palm 8br W/Pool/Steam & Sauna Room,16,579,Entire Villa,
"Jaipur, Rajasthan, India",Jaipur," Rajasthan, India",0,26.93,75.80,Stayvista At Krishnalaya Mansion Jaipur City Home!,16,524,Entire Villa,4.64
"Baga, Goa, India",Baga," Goa, India",0,15.57,73.76,Serenity: 6bhk Luxury Villa Pool/Parking (Baga),14,601,Entire Villa,4.78
"Parra, Goa, India",Parra," Goa, India",0,15.57,73.78,"Deck-4 Bed-Infinity Private Pool,Arpora @North Goa",10,545,Entire Villa,4.57
"New Delhi, Delhi, India",New Delhi," Delhi, India",0,28.44,77.21,Iraluxe,4,541,Farm Stay,
"Arambol, Goa, India",Arambol," Goa, India",1,15.64,73.72,Exotic Beachfront 6br Private Pool Ashvem,16,518,Entire Bungalow,
"Lonavla, Maharashtra, India",Lonavla," Maharashtra, India",1,18.77,73.41,Luxury 6bhk Crescent Private Pool Villa Lonavala,15,523,Entire Home,4.56
"Bhandar Gaon, Uttarakhand, India",Bhandar Gaon," Uttarakhand, India",0,30.41,78.08,Luxury Garden Villa Dehradun,11,527,Entire Villa,4.70
"Gurugram, Haryana, India",Gurugram," Haryana, India",0,28.29,76.93,Stayvista At The Banyan Abode W/ Pool Table & Tt,16,574,Entire Villa,4.57
"Anjuna, Goa, India",Anjuna," Goa, India",1,15.59,73.77,Rah - 5 Bhk Luxury Villa By Vio Stays In Assagao,13,600,Entire Home,
"Candolim, Goa, India",Candolim," Goa, India",0,15.52,73.77,"Beutiful Appartment Near Candolim Beach, Calangute",4,601,Entire Rental Unit,4.54
"Lonavla, Maharashtra, India",Lonavla," Maharashtra, India",0,18.74,73.44,8bhk 60 Ml Chalet (Can Accommodate 40 Paxs*),16,519,Entire Bungalow,5.00
"Puducherry, India",Puducherry, India,1,11.93,79.83,Villa Helena Heritage Guest House - Full Villa,16,589,Private Room In Bed And Breakfast,
"Arpora, Goa, India",Arpora," Goa, India",0,15.57,73.76,"Villa Arcadia 6bhk : Jacuzzi, Pool, Garden",14,644,Entire Villa,
"Candolim , Ga, India",Candolim ," Ga, India",0,15.50,73.77,"Casa Pelo Mar, Goa",15,704,Entire Villa,5.00
"Alibag, Maharashtra, India",Alibag," Maharashtra, India",0,18.74,72.88,"The Goan Pool Villa, Amidst Mother Nature, Alibag",12,498,Farm Stay,4.13
"Anjuna, Goa, India",Anjuna," Goa, India",0,15.59,73.77,Serene Flores French Style Boutique Villa,12,553,Entire Villa,
"Saligao, Goa, India",Saligao," Goa, India",0,15.56,73.78,Blu Grass 7 Bedroom Holiday Villa Near Calangute,14,687,Entire Villa,
"Calangute, Goa, India",Calangute," Goa, India",0,15.55,73.76,6bhk Private Pool Beach Villa @ Baga,14,661,Entire Villa,
"Calangute, Goa, India",Calangute," Goa, India",1,15.54,73.77,Exquisite 9 Bedroom Family Style Mansion With Pool,16,531,Entire Home,5.00
"Alappuzha, Kerala, India",Alappuzha," Kerala, India",0,9.54,76.35,The Rain- 3br Luxiries W/Breakfast And Kayaking,9,515,Private Room In Villa,
"Achrol, Rajasthan, India",Achrol," Rajasthan, India",0,27.14,75.96,The Foothills Villas - A Nature'S Home In Aravali,16,722,Farm Stay,
